number,title,closed,state_reason,codes,memo
73322,HTML Block: Button font changes when HTMLEditModal is open.,TRUE,completed,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;FIXED_BY_CHANGE;IMPACT_SIGNAL,WP 6.9 RC HTML modal style leakage fixed.
71470,Tests: Allow for renaming of actions without needing to update the repo.,FALSE,,MAINTAINER_PM;TRIAGE_AUTOMATION_OR_POLICY;IMPACT_SIGNAL;LOWER_PROBLEM_LOAD_SIGNAL,Required-check workflow automation enhancement.
70860,Query Loop Block is not editable without posts by default,TRUE,duplicate,USER_REPORT;CONFIRMED_PRODUCT_PROBLEM;DUPLICATE_OR_CONSOLIDATED;LOWER_PROBLEM_LOAD_SIGNAL,Query Loop empty-state bug closed as duplicate.
71150,Please use revert-layer instead of revert on the .editor-styles wrapper reset,FALSE,,USER_REPORT;UNCONFIRMED_OR_SUPPORT;LOWER_PROBLEM_LOAD_SIGNAL,CSS reset proposal discussed but not accepted as fix.
76726,Address shortcomings in how the PHP code within the `wp-build` package is built/bundled,FALSE,,MAINTAINER_PM;DUPLICATE_OR_CONSOLIDATED;LOWER_PROBLEM_LOAD_SIGNAL,Overarching wp-build bundling tracker.
70762,Incorrect custom block icon size when on widgets page,TRUE,not_planned,USER_REPORT;UNCONFIRMED_OR_SUPPORT;CLOSED_WITHOUT_RESOLUTION;TRIAGE_AUTOMATION_OR_POLICY;LOWER_PROBLEM_LOAD_SIGNAL,Raster icon use deemed unsupported/wont-fix.
75377,Breadcrumbs block: Add subheading before block specific advanced options,TRUE,not_planned,MAINTAINER_PM;CLOSED_WITHOUT_RESOLUTION;LOWER_PROBLEM_LOAD_SIGNAL,Breadcrumbs advanced-panel subheading closed maybe-later.
77718,[Flaky Test] post title and content are editable and blocks can be inserted,TRUE,duplicate,DUPLICATE_OR_CONSOLIDATED;TRIAGE_AUTOMATION_OR_POLICY;LOWER_PROBLEM_LOAD_SIGNAL,Auto flaky-test issue closed as duplicate.
74837,Media Modal Experiment: Add an uploading state,TRUE,completed,MAINTAINER_PM;DUPLICATE_OR_CONSOLIDATED;FIXED_BY_CHANGE;LOWER_PROBLEM_LOAD_SIGNAL,Media modal uploading-state subtask fixed minimally.
69965,Awkward behavior regarding library items portability,TRUE,completed,USER_REPORT;CONFIRMED_PRODUCT_PROBLEM;FIXED_BY_CHANGE;IMPACT_SIGNAL,Image replacement portability bug reproduced and fixed.
71568,no-unused-vars-before-return will break code if used on object methods,FALSE,,USER_REPORT;UNCONFIRMED_OR_SUPPORT;LOWER_PROBLEM_LOAD_SIGNAL,Open eslint-plugin report with no confirmation yet.
76276,Navigation Overlays: Unreadable display with collapsed submenu,TRUE,completed,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;FIXED_BY_CHANGE;IMPACT_SIGNAL,7.0 beta Navigation overlay clipping fixed.
72466,"""Warning: Undefined array key"" message appears after updating to 21.8.2 (conflict between Gutenberg and WooCommerce)",TRUE,completed,USER_REPORT;CONFIRMED_PRODUCT_PROBLEM;FIXED_BY_CHANGE;IMPACT_SIGNAL,PHP warning issue later fixed in PR.
73421,DataViews: Add counts/badges to filter options,TRUE,not_planned,USER_REPORT;CLOSED_WITHOUT_RESOLUTION;LOWER_PROBLEM_LOAD_SIGNAL,DataViews filter counts declined for performance risk.
75829,RTC: [Interface] Throttle updates after periods of inactivity,TRUE,completed,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;FIXED_BY_CHANGE;IMPACT_SIGNAL,RTC inactivity bug caused excessive meta writes; fixed.
76706,Investigate and fix crashes and console errors during client-side image upload processing,TRUE,completed,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;FIXED_BY_CHANGE;IMPACT_SIGNAL,Client-side media crashes/OOM investigated and fixed.
72875,Default attribute values do not make it to the saved post,FALSE,,USER_REPORT;UNCONFIRMED_OR_SUPPORT;LOWER_PROBLEM_LOAD_SIGNAL,Default-attribute serialization is intentional/open discussion.
71219,"Dataviews: In the grid layout, hiding the media also removes the checkboxes on items and makes them unselectable",TRUE,duplicate,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;DUPLICATE_OR_CONSOLIDATED;IMPACT_SIGNAL;LOWER_PROBLEM_LOAD_SIGNAL,DataViews grid selection a11y bug closed duplicate.
75667,"[Flaky Test] should initialize, edit, and update statusVisibility field correctly",TRUE,completed,TRIAGE_AUTOMATION_OR_POLICY;LOWER_PROBLEM_LOAD_SIGNAL,Auto flaky-test report closed without substantive thread.
78856,[Flaky Test] should show the custom field value of that specific post,FALSE,,TRIAGE_AUTOMATION_OR_POLICY;LOWER_PROBLEM_LOAD_SIGNAL,Open auto-generated flaky-test report.
76288,"Icon block: Padding applied on SVG is pushing `path`s out of `viewBox`, rendering an empty icon",TRUE,not_planned,USER_REPORT;CLOSED_WITHOUT_RESOLUTION;LOWER_PROBLEM_LOAD_SIGNAL,Icon padding behavior judged correct; closed wont-fix.
74825,Enable build-blocks-manifest by default,TRUE,completed,MAINTAINER_PM;FIXED_BY_CHANGE;IMPACT_SIGNAL;LOWER_PROBLEM_LOAD_SIGNAL,Build manifest performance enhancement enabled.
70306,Unwanted scrollbars in Experimental Form block inspector dropdown,FALSE,,USER_REPORT;CONFIRMED_PRODUCT_PROBLEM,Experimental Form variation dropdown overflow accepted as UI bug.
78041,"Font Library: importmap invalidated in Firefox by earlier plugin `<script type=""module"">`",TRUE,completed,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;CLOSED_WITHOUT_RESOLUTION;CHANNEL_REDIRECT;SCOPE_OR_OWNERSHIP_SHIFT;IMPACT_SIGNAL;LOWER_PROBLEM_LOAD_SIGNAL,Firefox importmap failure traced to PWA plugin/core ownership.
69895,Content hash does not change when using DependencyExtractionWebpackPlugin in combination with CSS files,FALSE,,USER_REPORT;CONFIRMED_PRODUCT_PROBLEM;IMPACT_SIGNAL;LOWER_PROBLEM_LOAD_SIGNAL,Dependency extraction CSS hash bug reproduced; tooling impact.
75282,RTC: [Interface] Change Avatar design,TRUE,completed,MAINTAINER_PM;FIXED_BY_CHANGE;LOWER_PROBLEM_LOAD_SIGNAL,RTC avatar design update completed.
73708,Command Palette: Make available on front-end,FALSE,,USER_REPORT;LOWER_PROBLEM_LOAD_SIGNAL,Front-end command palette feature request/prototype discussion.
70390,How to properly authenticate in e2e-test-utils-playwright?,FALSE,,USER_REPORT;UNCONFIRMED_OR_SUPPORT;LOWER_PROBLEM_LOAD_SIGNAL,Playwright authentication help request answered with examples.
74233,Block Variation: Block-scoped variations are searchable with the slash inserter,TRUE,completed,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;FIXED_BY_CHANGE,Block variation search regression fixed.
72753,Status-related actions are not adequately noted,TRUE,not_planned,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;CLOSED_WITHOUT_RESOLUTION;CHANNEL_REDIRECT;SCOPE_OR_OWNERSHIP_SHIFT;LOWER_PROBLEM_LOAD_SIGNAL,Notes status issue moved to Core backport ticket.
77270,Arrow up / down skips parent block,TRUE,duplicate,USER_REPORT;CONFIRMED_PRODUCT_PROBLEM;DUPLICATE_OR_CONSOLIDATED;LOWER_PROBLEM_LOAD_SIGNAL,Arrow navigation bug closed as duplicate.
79057,Add link support to the Icon block,FALSE,,USER_REPORT;LOWER_PROBLEM_LOAD_SIGNAL,Icon link support feature request pending decision.
70097,Generalize JSDoc for `withIgnoreIMEEvents` HOF to cover both `keyDown` and `keyUp` events,TRUE,completed,MAINTAINER_PM;FIXED_BY_CHANGE;LOWER_PROBLEM_LOAD_SIGNAL,JSDoc/code-quality clarification completed.
70937,Global Styles: Font Appearance doesn't work well with theme.json default value,TRUE,completed,MAINTAINER_PM;CONFIRMED_PRODUCT_PROBLEM;DUPLICATE_OR_CONSOLIDATED;FIXED_BY_CHANGE;LOWER_PROBLEM_LOAD_SIGNAL,Font appearance default bug fixed on trunk/duplicate marked.
