number,title,age_bucket,state_reason,codes,closure_memo
74788,7.0 Microsite,recent,completed,MAINTAINER_PM|FIXED_BY_CHANGE,7.0 microsite tracking issue closed after site/design work completed.
78955,Keyboard navigation broken in block editor with 7.0 release,recent,duplicate,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|DUPLICATE_OR_CONSOLIDATED|IMPACT_SIGNAL,Keyboard navigation accessibility regression closed as duplicate of active issue.
73770,How to disable the Stretchy Text options (fitText) ?,recent,completed,USER_REPORT|UNCONFIRMED_OR_SUPPORT|CLOSED_WITHOUT_RESOLUTION,Stretchy Text disable question closed after unregister-variation workaround was given.
70786,TypeScript: `meta` on all the core object types is wrongly set as a record of strings,recent,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE,TypeScript meta typing bug closed shortly after assignment and in-progress work.
75249,Navigation Overlay: update to dedicated icon,recent,completed,MAINTAINER_PM|FIXED_BY_CHANGE,Navigation Overlay icon task closed after contributor implementation.
69771,Comment Title Block: Feature request to change text,recent,not_planned,USER_REPORT|CLOSED_WITHOUT_RESOLUTION|SCOPE_OR_OWNERSHIP_SHIFT,Comment Title text request declined; better fit for Bits or Comments Count work.
72568,theme.json: textInput styling is broken in WP 6.9b1,recent,not_planned,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|CHANNEL_REDIRECT|SCOPE_OR_OWNERSHIP_SHIFT,WP 6.9 beta theme.json bug redirected to Core Trac ticket.
71880,Duplicate comment reply message contains encoding,recent,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE,Duplicate comment reply encoding bug closed after fix/test discussion.
70256,Pullquote block: Cannot override cite element style via theme.json,recent,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE,Pullquote cite specificity bug closed after fix demo and PR work.
70478,Remove percentage unit from letter spacing,recent,completed,USER_REPORT|SCOPE_OR_OWNERSHIP_SHIFT|CLOSED_WITHOUT_RESOLUTION|LOWER_PROBLEM_LOAD_SIGNAL,Letter-spacing percent kept; issue treated as Chrome bug with upstream fix.
65213,Add doc block for getSectionRootClientId,recent,completed,MAINTAINER_PM|FIXED_BY_CHANGE,Docblock task closed after documentation PR merged.
68065,Firefox UI: Save Draft button is broken for other languages,recent,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|LOWER_PROBLEM_LOAD_SIGNAL,Firefox header layout bug no longer reproduced in current testing.
70692,Allow themes/plugins to register synced patterns,recent,completed,USER_REPORT|DUPLICATE_OR_CONSOLIDATED,Synced-pattern registration request self-closed as duplicate of existing issue.
69214,getBlockTypes() do not return custom (PHP ?) blocks outside of the editor.,recent,not_planned,USER_REPORT|UNCONFIRMED_OR_SUPPORT|CLOSED_WITHOUT_RESOLUTION|SCOPE_OR_OWNERSHIP_SHIFT,getBlockTypes report closed as bootstrap/support scope outside tutorial flow.
71281,`useFocusOutside` doesn't run callback when unmounted,recent,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE,useFocusOutside unmount bug closed with no note after package triage.
73139,Pages DataView broken when content preview was enabled,recent,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE|IMPACT_SIGNAL,Pages DataView regression closed same day after assignee took it.
70612,[BUG] classes property in transforms breaks if it is not defined in the first block schema,recent,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE,Block transform schema bug closed after reproduction and fix work.
63827,PHP backports for WP 6.7,recent,completed,MAINTAINER_PM|TRIAGE_AUTOMATION_OR_POLICY|FIXED_BY_CHANGE|LOWER_PROBLEM_LOAD_SIGNAL,Auto backport changelog closed after all 6.7 tasks and release were done.
73767,Can't Update to Custom URL (non entity bound) link via Link Control,recent,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE,Link Control binding bug closed by linked PR.
75134,Proposal: rename @wordpress/components imports to prevent collisions with `@wordpress/ui`,recent,completed,MAINTAINER_PM|FIXED_BY_CHANGE|SCOPE_OR_OWNERSHIP_SHIFT,Components import collision proposal closed after @wordpress/ui migration work.
74154,Selecting a custom color might prevent the color palette from closing.,recent,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE|IMPACT_SIGNAL,Custom color palette regression linked to culprit PR and closed after fix work.
74433,wp-build: SCSS compilation fails with pnpm due to hardcoded node_modules path,recent,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE,wp-build pnpm SCSS bug closed after assigned in-progress fix.
73775,WordPress 7.0: iteration issue for Pattern Editing and contentOnly interactivity,recent,completed,MAINTAINER_PM|FIXED_BY_CHANGE|IMPACT_SIGNAL|SCOPE_OR_OWNERSHIP_SHIFT,Pattern editing 7.0 tracker closed after release; next iteration moved to new issue.
70876,iAPI Router: Styles inside `noscript` tags are wrongly applied on client-side navigation,recent,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE,Interactivity Router noscript style bug closed after in-progress fix.
76284,api-fetch: httpV1 middleware unconditionally overwrites Content-Type header,recent,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE,api-fetch Content-Type overwrite bug closed after referenced fix activity.
71433,"Accordion Content, Accordion Panel: blockGap support doesn't work",recent,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE,Accordion blockGap bug closed after short in-progress implementation window.
70022,Page Link Block does not properly associate selected page with slug/url,recent,duplicate,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|DUPLICATE_OR_CONSOLIDATED,Page Link URL association bug consolidated with broader Navigation Link issue.
73939,"WP-build: Side menu is not scrollable, cropping entries",recent,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE,wp-build sidebar scrolling bug closed after maintainer assignment and fix.
72619,The accordion panel won’t collapse,recent,not_planned,USER_REPORT|UNCONFIRMED_OR_SUPPORT|CLOSED_WITHOUT_RESOLUTION|SCOPE_OR_OWNERSHIP_SHIFT|LOWER_PROBLEM_LOAD_SIGNAL,Accordion collapse issue was LocalWP-specific and not recurring in newer builds.
