number,title,age_bucket,state_reason,codes,closure_memo
49520,DateTimePicker: Layout issues,old,not_planned,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|DUPLICATE_OR_CONSOLIDATED|SCOPE_OR_OWNERSHIP_SHIFT,Reproduced layout bug closed into broader inspector/component cleanup issue.
67987,@wordpress/block-library peer dependency maximum react version is 18,old,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|DUPLICATE_OR_CONSOLIDATED|SCOPE_OR_OWNERSHIP_SHIFT,React 19 package request closed in favor of repo-wide upgrade tracker.
8569,Re-evaluate shortcode blocks for more specific shortcode transforms,old,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE,Longstanding shortcode transform gap moved to working PR and then closed.
57904,Try using a full page for the font management,old,completed,MAINTAINER_PM|FIXED_BY_CHANGE|SCOPE_OR_OWNERSHIP_SHIFT,Font library full-page idea taken into routing-based implementation work.
37128,Render wp:template-part in wp:pattern not working,old,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|LOWER_PROBLEM_LOAD_SIGNAL,Template-part-in-pattern bug no longer reproduced in current builds.
27859,Allow Custom Entities to Use EntityProvider,old,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE,Custom entity provider issue closed as resolved by linked core-data change.
13368,"Insert Link: consider adding an ""Additional CSS Class"" field to the link inserter",old,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE|IMPACT_SIGNAL,Inline link class field merged after many years and visible user demand.
9396,"Setting post visibility to ""private"" forces immediate publishing of post",old,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE|IMPACT_SIGNAL,Private visibility publishing problem closed as fixed by Post Visibility refactor.
43149,FastImage issue on Android,old,not_planned,USER_REPORT|SCOPE_OR_OWNERSHIP_SHIFT|CLOSED_WITHOUT_RESOLUTION|LOWER_PROBLEM_LOAD_SIGNAL,Android FastImage bug closed because React Native implementation was removed.
33663,Inserter: Allow user customisable 'favourites' for blocks in inserter,old,not_planned,USER_REPORT|CLOSED_WITHOUT_RESOLUTION|LOWER_PROBLEM_LOAD_SIGNAL,Favorites request closed maybe-later; most-used blocks partly covers need.
46244,Link input without URI scheme should be completed with HTTPS by default,old,completed,USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE,HTTPS link completion closed after active PR work for block link handling.
