number,title,closed,state_reason,codes,memo
54442,"Editing a Synced Pattern that you don't have permission to edit is a poor user experience",true,"completed","USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE|IMPACT_SIGNAL","Author could edit unsavable synced pattern; maintainer linked PR #56574 as fix."
43816,"Consider providing spacing presets for height of spacer block",true,"completed","MAINTAINER_PM|DUPLICATE_OR_CONSOLIDATED|FIXED_BY_CHANGE","Duplicate/tracking discussion; added to spacing presets tracker and closed as PR #44002 addressed it."
50503,"FocalPointPicker: Disable horizontal dragging",false,"","USER_REPORT|MAINTAINER_PM|CONFIRMED_PRODUCT_PROBLEM|SCOPE_OR_OWNERSHIP_SHIFT","Input-selection UX confirmed; scope moved from Cover block to FocalPointPicker component discussion."
53126,"Image Block: Selecting multiple image blocks should still offer link action button (in toolbar)",false,"","USER_REPORT|MAINTAINER_PM|SCOPE_OR_OWNERSHIP_SHIFT","User wants bulk image linking; maintainers connect it to broader multi-select toolbar/inspector behavior."
54335,"Icons for block-specific and overall styling within the Site Editor",false,"","USER_REPORT|MAINTAINER_PM|IMPACT_SIGNAL","Reporter cites beginners and novice users confused by duplicate Styles icons."
55931,"Screen reader shortcut issue in the block editor",true,"completed","MAINTAINER_PM|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE|SCOPE_OR_OWNERSHIP_SHIFT","A11y skip-link bug linked to core ticket; comment says fixed in core r59992."
41403,"HTML anchor: Smooth scrolling to receiving end.",true,"not_planned","MAINTAINER_PM|CLOSED_WITHOUT_RESOLUTION","Closed as product decision: anchor jumps should stay uniform with front-end behavior."
37439,"In the template part list, there are text strings that use ""template"" instead of ""template part""",true,"completed","MAINTAINER_PM|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE","String mismatch accepted; issue was assigned, marked in progress, and closed."
56664,"useBlockProps rerender block multiple times ",true,"completed","USER_REPORT|UNCONFIRMED_OR_SUPPORT|SCOPE_OR_OWNERSHIP_SHIFT|CLOSED_WITHOUT_RESOLUTION|IMPACT_SIGNAL","Bug report reframed as React/rendering behavior question; closed with no actionable outcome."
57847,"Site icon image in the Site editor doesn't update on the fly",false,"","USER_REPORT|CONFIRMED_PRODUCT_PROBLEM","Bug report: site icon in editor nav does not update until refresh."
38423,"Android: Pasting from GBoard loses formatting",true,"not_planned","USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|LOWER_PROBLEM_LOAD_SIGNAL|CLOSED_WITHOUT_RESOLUTION","Mobile paste bug was verified, then closed as no longer relevant after React Native removal."
32968,"Widget Editor: Unable to empty widget areas in customizer",true,"completed","USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE","Customizer widget-area bug was labeled, assigned, marked in progress, and closed."
33934,"CSS Class Names: Add button to choose from block styles",true,"completed","MAINTAINER_PM|CLOSED_WITHOUT_RESOLUTION","Exploratory PR closed because it could not match the desired design; issue closed until approach is revisited."
34529,"Design Tools: Enhance Block Gap control to support axial configuration",true,"completed","MAINTAINER_PM|FIXED_BY_CHANGE","Block gap PM/technical design issue closed as resolved by PR #37736."
51177,"Image Size: Inconsistent behavior between rendered size and intrinsic size",false,"","USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|TRIAGE_AUTOMATION_OR_POLICY|IMPACT_SIGNAL","Known image sizing issue; stale/needs-info automation fired and was later corrected."
33401,"Warnings and invalid HTML generated from `gutenberg_render_elements_support()` for empty block",true,"not_planned","USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE","Maintainer said the warning/invalid HTML issue was resolved via #35836 before closing."
41083,"Env: No way to skip setting `WP_ENVIRONMENT_TYPE`",true,"completed","MAINTAINER_PM|CONFIRMED_PRODUCT_PROBLEM|FIXED_BY_CHANGE","wp-env constant problem had references, assignment, in-progress status, and completed closure."
52387,"Post Title: Consider Adding Balanced Line Wrapping Solution",true,"duplicate","MAINTAINER_PM|DUPLICATE_OR_CONSOLIDATED|SCOPE_OR_OWNERSHIP_SHIFT","Closed in favor of #55190; scope moved from Post Title to block support/global styles."
50809,"Navigation Sidebar: Selecting ""Edit Styles"" does not move focus to the opened Styles Sidebar.",true,"completed","USER_REPORT|CONFIRMED_PRODUCT_PROBLEM|LOWER_PROBLEM_LOAD_SIGNAL","A11y focus issue closed because the styles screen/sidebar changed and focus is now visible."
